"File","Line","Content","MsgText","IsDebug","PrevCtx","NextCtx"
"Client\BroadcastRecvGeneral\TCPInteraction.cpp","35","AfxMessageBox(IDP_SOCKETS_INIT_FAILED);","[Resource ID: IDP_SOCKETS_INIT_FAILED]","False","{","}"
"Client\BroadcastRecvGeneral\TCPInteraction.cpp","43","AfxMessageBox(cMsg);","[Dynamic variable: cMsg]","False","sprintf(cMsg,""Exiting Client Application (BroadcastRecv)- libraries for network API not initialized. Socket Error code :- %ld"",WSAGetLastError());","}"
"Client\BroadcastRecvGeneral\TCPInteraction.cpp","168","AfxMessageBox(""SendDataToNext"");","SendDataToNext","False","{","}"
"Client\BroadcastRecvGeneral\TCPInteraction.cpp","267","AfxMessageBox(cError);","[Dynamic variable: cError]","True","#ifdef _DEBUG","#endif"
"MCXSXProxyServer\XceedZip.cpp","38","MessageBox(NULL,""Unable to load XceedZip.dll Please check dll and restart application"",""MCXSXBroadcast"",MB_OK);","Unable to load XceedZip.dll Please check dll and restart application","True","//#ifdef _DEBUG","//#endif"
"MCXSXProxyServer\XceedZip.cpp","363","AfxMessageBox(""File Not Open For XceedZip Class"");","File Not Open For XceedZip Class","False","{","return false;"
"Client\XcelAutomation\XLEzAutomation.cpp","33","AfxMessageBox(""Exception in CXLEzAutomation() - XLEzAutomation.cpp"");","Exception in CXLEzAutomation() - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","58","AfxMessageBox(""Exception in CXLEzAutomation(BOOL bVisible) - XLEzAutomation.cpp"");","Exception in CXLEzAutomation(BOOL bVisible) - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","77","AfxMessageBox(""Exception in ~CXLEzAutomation - XLEzAutomation.cpp"");","Exception in ~CXLEzAutomation - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","93","AfxMessageBox(""Exception in ExportCString - XLEzAutomation.cpp"");","Exception in ExportCString - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","110","AfxMessageBox(""Exception in SetCellValue - XLEzAutomation.cpp"");","Exception in SetCellValue - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","126","AfxMessageBox(""Exception in ReleaseExcel - XLEzAutomation.cpp"");","Exception in ReleaseExcel - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","143","AfxMessageBox(""Exception in DeleteRow - XLEzAutomation.cpp"");","Exception in DeleteRow - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","160","AfxMessageBox(""Exception in SaveFileAs - XLEzAutomation.cpp"");","Exception in SaveFileAs - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","177","AfxMessageBox(""Exception in GetCellValue - XLEzAutomation.cpp"");","Exception in GetCellValue - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","194","AfxMessageBox(""Exception in OpenExcelFile - XLEzAutomation.cpp"");","Exception in OpenExcelFile - XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLEzAutomation.cpp","283","AfxMessageBox(""Exception in StorePointersVariables ->XLEzAutomation.cpp"");","Exception in StorePointersVariables ->XLEzAutomation.cpp","True","#ifdef _DEBUG","#endif"
"SecurityApplication2019\SendEmail\SendEmail.cpp","86","AfxMessageBox(IDP_SOCKETS_INIT_FAILED);","[Resource ID: IDP_SOCKETS_INIT_FAILED]","False","{","return FALSE;"
"SecurityApplication2019\SendEmail\SendEmail.cpp","130","AfxMessageBox(str, MB_SETFOREGROUND);","[Dynamic variable: str]","False","str.Format(""CreateDispatch() failed w/error 0x%08lx"", e.m_sc);","return 0;"
"SecurityApplication2019\SendEmail\SendEmail.cpp","190","AfxMessageBox(""Mail Sent."", MB_SETFOREGROUND);","Mail Sent.","False","if(!_bAutoLicenseCreation)","olNs.Logoff();"
"SecurityApplication2019\SendEmail\SendEmail.cpp","197","AfxMessageBox(""ERROR: SendToClient."", MB_SETFOREGROUND);","ERROR: SendToClient.","False","if(!_bAutoLicenseCreation)","return 0;"
"DdeXLCommunication\ProcessOrder.cpp","46","AfxMessageBox(""Unable to perform insert at Add response from ATSJobbing, CMainFrame::OnATSJobbingRuleResponse()"");","Unable to perform insert at Add response from ATSJobbing, CMainFrame::OnATSJobbingRuleResponse()","False","{","}"
"DdeXLCommunication\ProcessOrder.cpp","105","AfxMessageBox(""Unable to perform insert at modify response from Jobbing"");","Unable to perform insert at modify response from Jobbing","False","{","}"
"DdeXLCommunication\ProcessOrder.cpp","228","AfxMessageBox(""Unable to save Trailing StopLoss Settings"");","Unable to save Trailing StopLoss Settings","False","{","pInMemJobbingSettings->CloseCursor();"
"Client\XcelAutomation\XLAutomationUIThread.cpp","79","AfxMessageBox(""Exception in OnStoreVariables ->XLAutomationUIThread.cpp"");","Exception in OnStoreVariables ->XLAutomationUIThread.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLAutomationUIThread.cpp","96","BCGPMessageBox(_T(""Failed to get current directory.""));","Failed to get current directory.","False","{","return;"
"Client\XcelAutomation\XLAutomationUIThread.cpp","107","if (AfxMessageBox(""Do You Want to Create New Excel File? "", MB_YESNO) != 6)","Do You Want to Create New Excel File? ","False","{","{"
"Client\XcelAutomation\XLAutomationUIThread.cpp","118","AfxMessageBox(""MarketWatch File not Created !!!"");","MarketWatch File not Created !!!","False","{","return;"
"Client\XcelAutomation\XLAutomationUIThread.cpp","157","AfxMessageBox(""Exception in OnStartExcel ->XLAutomationUIThread.cpp"");","Exception in OnStartExcel ->XLAutomationUIThread.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLAutomationUIThread.cpp","176","AfxMessageBox(""Exception in OnStopExcel ->XLAutomationUIThread.cpp"");","Exception in OnStopExcel ->XLAutomationUIThread.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLAutomationUIThread.cpp","196","AfxMessageBox(""Exception in OnReleaseExcel ->XLAutomationUIThread.cpp"");","Exception in OnReleaseExcel ->XLAutomationUIThread.cpp","True","#ifdef _DEBUG","#endif"
"GreekExcel\udpsocket.h","97","MessageBox(NULL, ""Setsocketoption reuseadrr error"", ""Ok"", MB_OK);","Setsocketoption reuseadrr error","False","{","wsaError = WSAGetLastError();"
"GreekExcel\udpsocket.h","120","MessageBox(NULL, ""Socket bind error"", ""Ok"", MB_OK);","Socket bind error","False","{","wsaError = WSAGetLastError();"
"GreekExcel\udpsocket.h","140","MessageBox(NULL, ""Setsocketoption addmember error"", ""Ok"", MB_OK);","Setsocketoption addmember error","False","wsaError = WSAGetLastError();","LOG(""Setsocketoption addmember error %d."", wsaError);"
"MCXSXProxyServer\MCXSXProxySetting.cpp","235","AfxMessageBox(""Error Occur in opening Setting.txt"");","Error Occur in opening Setting.txt","False","{","}"
"Client\XcelAutomation\XLAutomation.cpp","45","AfxMessageBox(""Exception in XLAutomation ->XLAutomation.cpp"");","Exception in XLAutomation ->XLAutomation.cpp","True","#ifdef _DEBUG","#endif"
"Client\XcelAutomation\XLAutomation.cpp","65","AfxMessageBox(""Exception in CXLAutomation(BOOL bVisible) ->XLAutomation.cpp"");","Exception in CXLAutomation(BOOL bVisible) ->XLAutomation.cpp","True","#ifdef _DEBUG","#endif"
